Date,Close/Last,Volume,Open,High,Low,Daily Return,Cumulative Return,SMA_20,SMA_50,EMA_20,EMA_50,Volatility_20,Up_Streak,Down_Streak,Position,Strategy Return,Cumulative Strategy Return
2014-12-08,206.61,108460400,207.52,208.12,205.93,-0.0066826923076922,0.0211030938025109,206.008,,206.08604680715868,204.54595888687385,0.0035632508748405,0,1,1,-0.0066826923076922,0.012893420923620447
2014-12-09,206.47,125033900,204.37,206.6,203.91,-0.0006776051497991,0.0204111890876745,206.1325,,206.12261377790549,204.62141147954543,0.0035333784106808,0,2,1,-0.0006776051497991,0.012207079125404974
2014-12-10,203.1601,159140400,205.91,205.98,202.93,-0.0160309003729355,0.0040530789759813,206.081755,,205.84046960858117,204.56410514701423,0.0051282343403516,0,3,0,-0.0160309003729355,-0.004019511716834456
2014-12-11,204.19,158542800,203.88,206.19,203.71,0.005069400930596,0.00914302658891,206.093255,,205.6832820268115,204.54943435693528,0.0052580238370916,1,0,0,0.0,-0.004019511716834456
2014-12-12,200.89,201983200,202.64,203.819,200.85,-0.0161614182868897,-0.0071661559750911,205.928255,,205.22677897663897,204.40592712725157,0.0063770503417131,0,1,0,-0.0,-0.004019511716834456
2014-12-15,199.51,188920400,201.98,202.53,198.78,-0.0068694310319079,-0.0139863595927643,205.691755,,204.6823238360067,204.2139299850064,0.0065129699203133,0,2,0,-0.0,-0.004019511716834456
2014-12-16,197.91,258867900,198.58,202.395,197.86,-0.0080196481379378,-0.0218938420480376,205.368755,,204.0373406135299,203.9667170444179,0.0066735932834476,0,3,0,-0.0,-0.004019511716834456
2014-12-17,201.79,252458700,198.44,202.34,198.29,0.0196048709009144,-0.002718197094,205.180755,,203.8233081741461,203.8813555916956,0.0080506610701809,1,0,0,0.0,-0.004019511716834456
2014-12-18,206.78,256909600,204.74,212.97,203.92,0.0247286783289559,0.0219432638133838,205.258755,,204.10489787184645,203.99502792143304,0.0098746855545717,2,0,0,0.0,-0.004019511716834456
2014-12-19,206.52,242836400,206.43,207.33,205.6109,-0.0012573749879097,0.0206582979144021,205.305755,,204.33490759833725,204.09404643431805,0.0098763086179852,0,1,0,-0.0,-0.004019511716834456
